Gropparello comune,Gropparello comune.1
,
Gropparello – VedutaGropparello visto dalla frazione Boveri,Gropparello – VedutaGropparello visto dalla frazione Boveri
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Provincia,Piacenza
Amministrazione,Amministrazione
Sindaco,Armando Piazza (lista civica Piazza sindaco) dal 4-10-2021
Territorio,Territorio
Coordinate,44°50′N 9°44′E
Altitudine,355 m s.l.m.
Superficie,"56,33 km²"
Abitanti,2 166[1] (30-11-2025)
Densità,"38,45 ab./km²"
Frazioni,"Castellana, Castellotti, Groppovisdomo, Gusano, La Valle, Lodola, Mandola, Montechino, Obolo, Sariano, Veggiola"
Comuni confinanti,"Bettola, Carpaneto Piacentino, Lugagnano Val d'Arda, Morfasso, Ponte dell'Olio, San Giorgio Piacentino"
Altre informazioni,Altre informazioni
Cod. postale,29025
Prefisso,0523
Fuso orario,UTC+1
Codice ISTAT,033025
Cod. catastale,E196
Targa,PC
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 911 GG[3]"
Nome abitanti,gropparellesi
Cartografia,Cartografia
Gropparello,Gropparello
Gropparello – MappaPosizione del comune di Gropparello nella provincia di Piacenza,Gropparello – MappaPosizione del comune di Gropparello nella provincia di Piacenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
