Villanova sull'Arda comune,Villanova sull'Arda comune.1
,
Villanova sull'Arda – VedutaVilla Verdi nella frazione di Sant'Agata,Villanova sull'Arda – VedutaVilla Verdi nella frazione di Sant'Agata
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Provincia,Piacenza
Amministrazione,Amministrazione
Sindaco,Romano Freddi (lista civica Vivere Villanova) dal 7-5-2012 (3º mandato dal 12-6-2022)
Territorio,Territorio
Coordinate,45°01′33.62″N 9°59′49.42″E
Altitudine,42 m s.l.m.
Superficie,"36,57 km²"
Abitanti,1 663[1] (30-11-2025)
Densità,"45,47 ab./km²"
Frazioni,"Cignano, Sant'Agata, Soarza[2]"
Comuni confinanti,"Besenzone, Busseto (PR), Castelvetro Piacentino, Cortemaggiore, Monticelli d'Ongina, Polesine Zibello (PR), San Pietro in Cerro, Stagno Lombardo (CR)"
Altre informazioni,Altre informazioni
Cod. postale,29010
Prefisso,0523
Fuso orario,UTC+1
Codice ISTAT,033046
Cod. catastale,L980
Targa,PC
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 385 GG[4]"
Nome abitanti,villanovesi
Cartografia,Cartografia
Villanova sull'Arda,Villanova sull'Arda
Villanova sull'Arda – MappaPosizione del comune di Villanova sull'Arda nella provincia di Piacenza,Villanova sull'Arda – MappaPosizione del comune di Villanova sull'Arda nella provincia di Piacenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
