Casina comune,Casina comune.1
(dettagli),(dettagli)
Casina – VedutaPanorama invernale di Casina,Casina – VedutaPanorama invernale di Casina
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Provincia,Reggio Emilia
Amministrazione,Amministrazione
Sindaco,"Stefano Costi (lista civica di centro-destra ""Casina Bene Comune"") dal 20-6-2016 (2º mandato dal 4-10-2021)"
Data di istituzione,4-12-1859[1]
Territorio,Territorio
Coordinate,44°30′40″N 10°30′09″E
Altitudine,574 m s.l.m.
Superficie,"63,8[2] km²"
Abitanti,4 608[3] (30-11-2025)
Densità,"72,23 ab./km²"
Frazioni,"Banzola, Barazzone, Beleo, Bergogno, Bettola, Bocco, Boschi, Braglio, Brugna, Casaleo, Casetico, Castignola, Ciolla, Cortogno, Costaferrata, Crocicchio, Faieto, Giandeto Straduzzi, Il Monte, La Ripa, Leguigno Faggeto, Lezzolo, L'Incrostolo, Masere, Migliara-Boastra, Molino di Cortogno, Monchio l'Axella, Montale, Montata, Montevaglio, Paullo Chiesa, Sordiglio, Strada-Fabbrica, Trazara, Vercallo, Villa Bonini"
Comuni confinanti,"Carpineti, Castelnovo ne' Monti, Canossa, Vezzano sul Crostolo, Viano"
Altre informazioni,Altre informazioni
Cod. postale,42034
Prefisso,0522
Fuso orario,UTC+1
Codice ISTAT,035013
Cod. catastale,B967
Targa,RE
Cl. sismica,zona 3 (sismicità bassa)[4]
Cl. climatica,"zona E, 2 999 GG[5]"
Nome abitanti,casinesi
Patrono,san Bartolomeo
Giorno festivo,24 agosto
Cartografia,Cartografia
Casina,Casina
Casina – MappaPosizione del comune di Casina nella provincia di Reggio Emilia,Casina – MappaPosizione del comune di Casina nella provincia di Reggio Emilia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
