Gualtieri comune,Gualtieri comune.1
,
Gualtieri – VedutaPalazzo Bentivoglio,Gualtieri – VedutaPalazzo Bentivoglio
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Provincia,Reggio Emilia
Amministrazione,Amministrazione
Sindaco,Federico Carnevali (Gualtieri comunità in azione) dal 9-6-2024
Territorio,Territorio
Coordinate,44°54′N 10°38′E
Altitudine,22 m s.l.m.
Superficie,"35,65 km²"
Abitanti,6 351[1] (30-11-2025)
Densità,"178,15 ab./km²"
Frazioni,"Pieve Saliceto, Santa Vittoria"
Comuni confinanti,"Boretto, Cadelbosco di Sopra, Castelnovo di Sotto, Dosolo (MN), Guastalla, Pomponesco (MN)"
Altre informazioni,Altre informazioni
Cod. postale,42044
Prefisso,0522
Fuso orario,UTC+1
Codice ISTAT,035023
Cod. catastale,E232
Targa,RE
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 434 GG[3]"
Nome abitanti,gualtierini
Patrono,santa Maria della Neve
Giorno festivo,5 agosto
Cartografia,Cartografia
Gualtieri,Gualtieri
Gualtieri – MappaPosizione del comune di Gualtieri nella provincia di Reggio Emilia,Gualtieri – MappaPosizione del comune di Gualtieri nella provincia di Reggio Emilia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
