Dolegna del Collio comune,Dolegna del Collio comune.1
(IT) Dolegna del Collio (FUR) Dolegne dal Cuei [1],(IT) Dolegna del Collio (FUR) Dolegne dal Cuei [1]
,
Dolegna del Collio – VedutaVista del Castello di Trussio,Dolegna del Collio – VedutaVista del Castello di Trussio
Localizzazione,Localizzazione
Stato,Italia
Regione,Friuli-Venezia Giulia
Provincia,Gorizia
Amministrazione,Amministrazione
Sindaco,Carlo Comis (lista civica) dal 27-5-2019 (2º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,46°02′N 13°29′E
Altitudine,90 m s.l.m.
Superficie,"12,88 km²"
Abitanti,288[2] (30-11-2025)
Densità,"22,36 ab./km²"
Frazioni,"Lonzano, Mernico, Restocina, Ruttars, Scriò, Vencò[3]"
Comuni confinanti,"Collio (Brda) (SLO), Cormons (GO), Corno di Rosazzo (UD), Prepotto (UD)"
Altre informazioni,Altre informazioni
Lingue,"italiano, friulano, sloveno"
Cod. postale,34070
Prefisso,0481
Fuso orario,UTC+1
Codice ISTAT,031004
Cod. catastale,D321
Targa,GO
Cl. sismica,zona 2 (sismicità media)[4]
Cl. climatica,"zona E, 2 282 GG[5]"
Nome abitanti,dolegnesi
Patrono,san Giuseppe
Giorno festivo,19 marzo
Cartografia,Cartografia
Dolegna del Collio,Dolegna del Collio
Dolegna del Collio – MappaPosizione del comune di Dolegna del Collio nella ex provincia di Gorizia,Dolegna del Collio – MappaPosizione del comune di Dolegna del Collio nella ex provincia di Gorizia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
