Farra d'Isonzo comune,Farra d'Isonzo comune.1
(IT) Farra d’Isonzo (FUR) Fare[1],(IT) Farra d’Isonzo (FUR) Fare[1]
,
Farra d'Isonzo – Veduta,Farra d'Isonzo – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Friuli-Venezia Giulia
Provincia,Gorizia
Amministrazione,Amministrazione
Sindaco,Stefano Turchetto (centro-sinistra) dal 27-5-2019
Territorio,Territorio
Coordinate,45°54′N 13°31′E
Altitudine,46 m s.l.m.
Superficie,"10,25 km²"
Abitanti,1 680[2] (30-11-2025)
Densità,"163,9 ab./km²"
Frazioni,"Borgo dei Conventi, Borgo del Molino, Borgo Grotta, Fossata, Mainizza, Monte Fortino, Villanova di Farra"
Comuni confinanti,"Gorizia, Gradisca d'Isonzo, Mariano del Friuli, Moraro, Mossa, Sagrado, San Lorenzo Isontino, Savogna d'Isonzo"
Altre informazioni,Altre informazioni
Lingue,"italiano, friulano"
Cod. postale,34072
Prefisso,0481
Fuso orario,UTC+1
Codice ISTAT,031005
Cod. catastale,D504
Targa,GO
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona E, 2 283 GG[4]"
Nome abitanti,farresi
Patrono,Maria Assunta
Giorno festivo,15 agosto
Cartografia,Cartografia
Farra d'Isonzo,Farra d'Isonzo
Farra d'Isonzo – MappaPosizione del comune di Farra d'Isonzo nella ex provincia di Gorizia,Farra d'Isonzo – MappaPosizione del comune di Farra d'Isonzo nella ex provincia di Gorizia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
