Gorizia comune,Gorizia comune.1
(IT) Gorizia (FUR) Gurize [1] (SL) Gorica,(IT) Gorizia (FUR) Gurize [1] (SL) Gorica
,
Gorizia – VedutaVeduta del centro storico dal castello,Gorizia – VedutaVeduta del centro storico dal castello
Localizzazione,Localizzazione
Stato,Italia
Regione,Friuli-Venezia Giulia
Provincia,Gorizia
Amministrazione,Amministrazione
Sindaco,Rodolfo Ziberna (FI) dal 26-6-2017 (2º mandato dal 26-6-2022)
Territorio,Territorio
Coordinate,45°56′06.72″N 13°37′09.48″E
Altitudine,86 m s.l.m.
Superficie,"41,26 km²"
Abitanti,33 690[2] (30-11-2025)
Densità,"816,53 ab./km²"
Frazioni,nessuna[3]; vedi elenco quartieri
Comuni confinanti,"Collio (SLO), Farra d'Isonzo, Mossa, Nova Gorica (SLO), San Floriano del Collio, Savogna d'Isonzo, San Pietro-Vertoiba (SLO)"
Altre informazioni,Altre informazioni
Cod. postale,34170
Prefisso,0481
Fuso orario,UTC+1
Codice ISTAT,031007
Cod. catastale,E098
Targa,GO
Cl. sismica,zona 2 (sismicità media)[4]
Cl. climatica,"zona E, 2 333 GG[5]"
Nome abitanti,goriziani
Patrono,santi Ilario e Taziano
Giorno festivo,16 marzo
Soprannome,La Nizza austriaca[6] La Città giardino[7]
Cartografia,Cartografia
Gorizia,Gorizia
Gorizia – MappaPosizione del comune di Gorizia nella ex provincia omonima,Gorizia – MappaPosizione del comune di Gorizia nella ex provincia omonima
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
