Morsano al Tagliamento comune,Morsano al Tagliamento comune.1
(IT) Morsano al Tagliamento (FUR) Morsan da lis Ocjis / Morsan[1],(IT) Morsano al Tagliamento (FUR) Morsan da lis Ocjis / Morsan[1]
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Friuli-Venezia Giulia
Provincia,Pordenone
Amministrazione,Amministrazione
Sindaco,Elena Maiolla (lista civica) dal 10-06-2024
Territorio,Territorio
Coordinate,45°51′30″N 12°55′40″E
Altitudine,14 m s.l.m.
Superficie,"32,54 km²"
Abitanti,2 757[2] (30-11-2025)
Densità,"84,73 ab./km²"
Frazioni,"Mussons, Saletto-Bando, San Paolo[3]"
Comuni confinanti,"Camino al Tagliamento, Cordovado, Fossalta di Portogruaro (VE), San Michele al Tagliamento (VE), San Vito al Tagliamento, Sesto al Reghena, Teglio Veneto (VE), Varmo"
Altre informazioni,Altre informazioni
Lingue,"italiano, friulano"
Cod. postale,33075
Prefisso,0434
Fuso orario,UTC+1
Codice ISTAT,093028
Cod. catastale,F750
Targa,PN
Cl. sismica,zona 3 (sismicità bassa)[4]
Cl. climatica,"zona E, 2 662 GG[5]"
Nome abitanti,morsanesi
Patrono,san Martino di Tours
Giorno festivo,11 novembre
Cartografia,Cartografia
Morsano al Tagliamento,Morsano al Tagliamento
Morsano al Tagliamento – MappaPosizione del comune di Morsano al Tagliamento nella ex provincia di Pordenone,Morsano al Tagliamento – MappaPosizione del comune di Morsano al Tagliamento nella ex provincia di Pordenone
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
