Pravisdomini comune,Pravisdomini comune.1
,
Pravisdomini – VedutaIl municipio di Pravisdomini,Pravisdomini – VedutaIl municipio di Pravisdomini
Localizzazione,Localizzazione
Stato,Italia
Regione,Friuli-Venezia Giulia
Provincia,Pordenone
Amministrazione,Amministrazione
Sindaco,"Davide Andretta (Lega, lista civica) dal 6-6-2016 (2º mandato dal 4-10-2021)"
Territorio,Territorio
Coordinate,45°49′N 12°41′E
Altitudine,10 m s.l.m.
Superficie,"16,21 km²"
Abitanti,3 478[1] (30-11-2025)
Densità,"214,56 ab./km²"
Frazioni,"Barco, Frattina, Panigai"
Comuni confinanti,"Annone Veneto (VE), Azzano Decimo, Chions, Meduna di Livenza (TV), Pasiano di Pordenone, Pramaggiore (VE)"
Altre informazioni,Altre informazioni
Cod. postale,33076
Prefisso,0434
Fuso orario,UTC+1
Codice ISTAT,093035
Cod. catastale,H010
Targa,PN
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 547 GG[3]"
Nome abitanti,pravisdominesi
Patrono,sant'Antonio abate
Giorno festivo,17 gennaio
Cartografia,Cartografia
Pravisdomini,Pravisdomini
Pravisdomini – MappaPosizione del comune di Pravisdomini nella ex provincia di Pordenone,Pravisdomini – MappaPosizione del comune di Pravisdomini nella ex provincia di Pordenone
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
