Colloredo di Monte Albano comune,Colloredo di Monte Albano comune.1
(IT) Colloredo di Monte Albano (FUR) Colorêt di Montalban[1],(IT) Colloredo di Monte Albano (FUR) Colorêt di Montalban[1]
,
Colloredo di Monte Albano – VedutaIl castello di Colloredo,Colloredo di Monte Albano – VedutaIl castello di Colloredo
Localizzazione,Localizzazione
Stato,Italia
Regione,Friuli-Venezia Giulia
Provincia,Udine
Amministrazione,Amministrazione
Sindaco,Renza Baiutti (lista civica) dal 10-6-2024
Territorio,Territorio
Coordinate,46°10′N 13°08′E
Altitudine,218 m s.l.m.
Superficie,"21,75 km²"
Abitanti,2 188[2] (30-11-2025)
Densità,"100,6 ab./km²"
Frazioni,"Aveacco, Caporiacco, Entesano, Laibacco, Lauzzana, Melesons, Mels, Paradise, Pradis"
Comuni confinanti,"Buja, Cassacco, Fagagna, Majano, Moruzzo, Pagnacco, Rive d'Arcano, Treppo Grande, Tricesimo"
Altre informazioni,Altre informazioni
Lingue,"italiano, friulano"
Cod. postale,33010
Prefisso,0432
Fuso orario,UTC+1
Codice ISTAT,030028
Cod. catastale,C885
Targa,UD
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona E, 2 491 GG[4]"
Nome abitanti,colloredani
Patrono,San Biagio
Giorno festivo,3 febbraio
Cartografia,Cartografia
Colloredo di Monte Albano,Colloredo di Monte Albano
Colloredo di Monte Albano – MappaPosizione del comune di Colloredo di Monte Albano nella ex provincia di Udine,Colloredo di Monte Albano – MappaPosizione del comune di Colloredo di Monte Albano nella ex provincia di Udine
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
