Talmassons comune,Talmassons comune.1
(IT) Talmassons (FUR) Talmassons[1],(IT) Talmassons (FUR) Talmassons[1]
,
Talmassons – VedutaPiazza principale di Talmassons nel 1917,Talmassons – VedutaPiazza principale di Talmassons nel 1917
Localizzazione,Localizzazione
Stato,Italia
Regione,Friuli-Venezia Giulia
Provincia,Udine
Amministrazione,Amministrazione
Sindaco,Fabrizio Pitton (centro-destra) dal 29-4-2018 (2º mandato dal 3-4-2023)
Territorio,Territorio
Coordinate,45°56′N 13°07′E
Altitudine,30 m s.l.m.
Superficie,"43,05 km²"
Abitanti,3 821[2] (30-11-2025)
Densità,"88,76 ab./km²"
Frazioni,"Flambro, Flumignano, Sant'Andrat del Cormor[3]"
Comuni confinanti,"Bertiolo, Castions di Strada, Lestizza, Mortegliano, Pocenia, Rivignano Teor"
Altre informazioni,Altre informazioni
Lingue,"italiano, friulano"
Cod. postale,33030
Prefisso,0432
Fuso orario,UTC+1
Codice ISTAT,030114
Cod. catastale,L039
Targa,UD
Cl. sismica,zona 3 (sismicità bassa)[4]
Cl. climatica,"zona E, 2 304 GG[5]"
Nome abitanti,talmassonesi
Patrono,san Lorenzo martire
Giorno festivo,10 agosto
Cartografia,Cartografia
Talmassons,Talmassons
Talmassons – MappaPosizione del comune di Talmassons nella ex provincia di Udine,Talmassons – MappaPosizione del comune di Talmassons nella ex provincia di Udine
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
