Tricesimo comune,Tricesimo comune.1
(IT) Tricesimo (FUR) Tresesin[1],(IT) Tricesimo (FUR) Tresesin[1]
,
Tricesimo – VedutaPiazza Garibaldi con il duomo e il municipio,Tricesimo – VedutaPiazza Garibaldi con il duomo e il municipio
Localizzazione,Localizzazione
Stato,Italia
Regione,Friuli-Venezia Giulia
Provincia,Udine
Amministrazione,Amministrazione
Capoluogo,Tricesimo
Sindaco,Giorgio Baiutti (liste civiche di centro-sinistra) dal 12-06-2017 (2º mandato dal 13-06-2022)
Territorio,Territorio
Coordinate del capoluogo,46°09′37.8″N 13°12′46.08″E
Altitudine,199 m s.l.m.
Superficie,"17,68 km²"
Abitanti,7 608[2] (30-11-2025)
Densità,"430,32 ab./km²"
Frazioni,"Adorgnano, Ara Grande, Ara Piccola, Felettano, Fraelacco, Laipacco, Leonacco, Luseriacco, Colgallo, Braidamatta, San Pelagio, Morena"
Comuni confinanti,"Cassacco, Pagnacco, Reana del Rojale, Tarcento, Tavagnacco, Treppo Grande, Colloredo di Monte Albano"
Altre informazioni,Altre informazioni
Lingue,"italiano, friulano"
Cod. postale,33019
Prefisso,0432
Fuso orario,UTC+1
Codice ISTAT,030127
Cod. catastale,L421
Targa,UD
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona E, 2 451 GG[4]"
Nome abitanti,tricesimani (tresemans)
Patrono,Madonna della Purificazione (detta comunemente Candelora)
Giorno festivo,2 febbraio
Cartografia,Cartografia
Tricesimo,Tricesimo
Tricesimo – MappaPosizione del comune di Tricesimo nella ex provincia di Udine,Tricesimo – MappaPosizione del comune di Tricesimo nella ex provincia di Udine
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
