Visco comune,Visco comune.1
(IT) Visco (FUR) Visc[1],(IT) Visco (FUR) Visc[1]
,
Visco – VedutaLa chiesa decanale di Santa Maria Maggiore,Visco – VedutaLa chiesa decanale di Santa Maria Maggiore
Localizzazione,Localizzazione
Stato,Italia
Regione,Friuli-Venezia Giulia
Provincia,Udine
Amministrazione,Amministrazione
Sindaco,Elena Cecotti[2] (centro-destra) dal 17-5-2010 (4º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,45°54′N 13°21′E
Altitudine,27 m s.l.m.
Superficie,"3,52 km²"
Abitanti,836[3] (30-11-2025)
Densità,"237,5 ab./km²"
Comuni confinanti,"Aiello del Friuli, Bagnaria Arsa, Palmanova, San Vito al Torre"
Altre informazioni,Altre informazioni
Lingue,"italiano, friulano"
Cod. postale,33040
Prefisso,0432
Fuso orario,UTC+1
Codice ISTAT,030135
Cod. catastale,M073
Targa,UD
Cl. sismica,zona 3 (sismicità bassa)[4]
Cl. climatica,"zona E, 2 278 GG[5]"
Nome abitanti,vischesi
Patrono,"san Pietro, santa Maria della Neve"
Giorno festivo,29 giugno
Cartografia,Cartografia
Visco,Visco
Visco – MappaPosizione del comune di Visco nella ex provincia di Udine,Visco – MappaPosizione del comune di Visco nella ex provincia di Udine
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
