Moricone comune,Moricone comune.1
,
Moricone – Veduta,Moricone – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Città metropolitana,Roma
Amministrazione,Amministrazione
Sindaco,Giovanni Battista Pascazi (lista civica Progetto comune) dal 26-5-2019
Territorio,Territorio
Coordinate,42°06′59.8″N 12°46′20.42″E
Altitudine,296 m s.l.m.
Superficie,"19,59 km²"
Abitanti,2 380[1] (30-11-2025)
Densità,"121,49 ab./km²"
Comuni confinanti,"Monteflavio, Montelibretti, Montorio Romano, Palombara Sabina"
Altre informazioni,Altre informazioni
Cod. postale,00010
Prefisso,0774
Fuso orario,UTC+1
Codice ISTAT,058067
Cod. catastale,F730
Targa,RM
Cl. sismica,zona 2B (sismicità media)[2]
Cl. climatica,"zona D, 1 903 GG[3]"
Nome abitanti,moriconesi
Patrono,Maria Assunta
Giorno festivo,22 agosto
Cartografia,Cartografia
Moricone,Moricone
Moricone – MappaPosizione del comune di Moricone nella città metropolitana di Roma Capitale,Moricone – MappaPosizione del comune di Moricone nella città metropolitana di Roma Capitale
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
