Fumone comune,Fumone comune.1
,
Fumone – Veduta,Fumone – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Provincia,Frosinone
Amministrazione,Amministrazione
Sindaco,Matteo Campoli (lista civica) dal 4-10-2021
Territorio,Territorio
Coordinate,41°43′30″N 13°17′28″E
Altitudine,783 m s.l.m.
Superficie,"14,84 km²"
Abitanti,1 938[1] (30-11-2025)
Densità,"130,59 ab./km²"
Comuni confinanti,"Alatri, Anagni, Ferentino, Trivigliano"
Altre informazioni,Altre informazioni
Cod. postale,03010
Prefisso,0775
Fuso orario,UTC+1
Codice ISTAT,060039
Cod. catastale,D819
Targa,FR
Cl. sismica,zona 2B (sismicità media)[2]
Cl. climatica,"zona E, 2 533 GG[3]"
Nome abitanti,fumonesi
Patrono,san Sebastiano
Cartografia,Cartografia
Fumone,Fumone
Fumone – MappaPosizione del comune di Fumone nella provincia di Frosinone,Fumone – MappaPosizione del comune di Fumone nella provincia di Frosinone
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
