Nespolo comune,Nespolo comune.1
,
Nespolo – VedutaVeduta del borgo antico di Nespolo,Nespolo – VedutaVeduta del borgo antico di Nespolo
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Provincia,Rieti
Amministrazione,Amministrazione
Sindaco,Luigino Cavallari (lista civica Futuro e tradizione) dal 13-6-2022 (3º mandato)
Territorio,Territorio
Coordinate,42°09′N 13°04′E
Altitudine,886 m s.l.m.
Superficie,"8,65 km²"
Abitanti,208[1] (30-11-2025)
Densità,"24,05 ab./km²"
Comuni confinanti,"Carsoli (AQ), Collalto Sabino"
Altre informazioni,Altre informazioni
Cod. postale,02020
Prefisso,0765
Fuso orario,UTC+1
Codice ISTAT,057046
Cod. catastale,F876
Targa,RI
Cl. sismica,zona 2B (sismicità media)[2]
Cl. climatica,"zona E, 2 977 GG[3]"
Nome abitanti,nespolesi
Patrono,san Sebastiano
Giorno festivo,20 gennaio
Cartografia,Cartografia
Nespolo,Nespolo
Nespolo – MappaPosizione del comune di Nespolo nella provincia di Rieti,Nespolo – MappaPosizione del comune di Nespolo nella provincia di Rieti
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
