Poggio Bustone comune,Poggio Bustone comune.1
,
"Poggio Bustone – VedutaPoggio Bustone, la Piana Reatina e il Lago Lungo visti dal Santuario","Poggio Bustone – VedutaPoggio Bustone, la Piana Reatina e il Lago Lungo visti dal Santuario"
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Provincia,Rieti
Amministrazione,Amministrazione
Sindaco,Rovero Mostarda (Lista civica Uniti Per Poggio Bustone) dal 22-9-2020
Territorio,Territorio
Coordinate,42°30′N 12°53′E
Altitudine,751 m s.l.m.
Superficie,"22,38 km²"
Abitanti,1 955[1] (30-11-2025)
Densità,"87,35 ab./km²"
Frazioni,"Borgo San Pietro, Villa Falilò, Villa Tizi, Villa Provaroni, Villa Giovannone, Villa Cenere, Villa Bravi, Villa Capita, Pipino, Borgo Colli, Borgo Acquarisciana"
Comuni confinanti,"Cantalice, Leonessa, Rieti, Rivodutri"
Altre informazioni,Altre informazioni
Cod. postale,02018
Prefisso,0746
Fuso orario,UTC+1
Codice ISTAT,057051
Cod. catastale,G756
Targa,RI
Cl. sismica,zona 2A (sismicità media)[2]
Cl. climatica,"zona E, 2 741 GG[3]"
Nome abitanti,poiani (localmente pojani)[4]
Patrono,san Giovanni Battista
Giorno festivo,24 giugno
Cartografia,Cartografia
Poggio Bustone,Poggio Bustone
Poggio Bustone – MappaPosizione del comune di Poggio Bustone nella provincia di Rieti,Poggio Bustone – MappaPosizione del comune di Poggio Bustone nella provincia di Rieti
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
