Monte Romano comune,Monte Romano comune.1
,
Monte Romano – Veduta,Monte Romano – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Provincia,Viterbo
Amministrazione,Amministrazione
Sindaco,Maurizio Testa (lista civica) dall'8-6-2009 (3º mandato dal 27-5-2019)
Territorio,Territorio
Coordinate,42°16′05″N 11°53′55″E
Altitudine,230 m s.l.m.
Superficie,"86,14 km²"
Abitanti,1 852[1] (30-11-2025)
Densità,"21,5 ab./km²"
Comuni confinanti,"Blera, Tarquinia, Tolfa (RM), Tuscania, Vetralla, Viterbo"
Altre informazioni,Altre informazioni
Cod. postale,01010
Prefisso,0766
Fuso orario,UTC+1
Codice ISTAT,056037
Cod. catastale,F603
Targa,VT
Cl. sismica,zona 2B (sismicità media)[2]
Cl. climatica,"zona D, 1 829 GG[3]"
Nome abitanti,monteromanesi
Patrono,santa Corona
Giorno festivo,14 maggio
Cartografia,Cartografia
Monte Romano,Monte Romano
Monte Romano – MappaPosizione del comune di Monte Romano nella provincia di Viterbo,Monte Romano – MappaPosizione del comune di Monte Romano nella provincia di Viterbo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
