Nepi comune,Nepi comune.1
,
Nepi – Veduta,Nepi – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Provincia,Viterbo
Amministrazione,Amministrazione
Sindaco,Franco Vita (lista civica Noi & voi per Nepi) dal 27-5-2019
Territorio,Territorio
Coordinate,42°14′37″N 12°20′47″E
Altitudine,227 m s.l.m.
Superficie,"83,71 km²"
Abitanti,9 548[1] (30-11-2025)
Densità,"114,06 ab./km²"
Frazioni,"Colle Farnese, Colle Lydia, Colle Salomonio, Grezzano, Settevene, Gabelletta"
Comuni confinanti,"Campagnano di Roma (RM), Caprarola, Carbognano, Castel Sant'Elia, Fabrica di Roma, Mazzano Romano (RM), Monterosi, Ronciglione, Sutri, Trevignano Romano (RM)"
Altre informazioni,Altre informazioni
Cod. postale,01036
Prefisso,0761
Fuso orario,UTC+1
Codice ISTAT,056039
Cod. catastale,F868
Targa,VT
Cl. sismica,zona 3A (sismicità bassa) zona 3B (sismicità bassa)[2]
Cl. climatica,"zona D, 1 824 GG[3]"
Nome abitanti,nepesini
Patrono,santi Tolomeo e Romano
Giorno festivo,24/25 agosto
Cartografia,Cartografia
Nepi,Nepi
Nepi – MappaPosizione del comune di Nepi nella provincia di Viterbo,Nepi – MappaPosizione del comune di Nepi nella provincia di Viterbo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
