Onano comune,Onano comune.1
,
Onano – Veduta,Onano – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Provincia,Viterbo
Amministrazione,Amministrazione
Sindaco,Pacifico Biribicchi (lista civica) dal 10-6-2024
Territorio,Territorio
Coordinate,42°41′32″N 11°49′01″E
Altitudine,485 m s.l.m.
Superficie,"24,51 km²"
Abitanti,859[1] (30-11-2025)
Densità,"35,05 ab./km²"
Comuni confinanti,"Acquapendente, Gradoli, Grotte di Castro, Latera, Sorano (GR)"
Altre informazioni,Altre informazioni
Cod. postale,01010
Prefisso,0763
Fuso orario,UTC+1
Codice ISTAT,056040
Cod. catastale,G065
Targa,VT
Cl. sismica,zona 2B (sismicità media)[2]
Cl. climatica,"zona E, 2 325 GG[3]"
Nome abitanti,onanesi
Patrono,san Trifone
Giorno festivo,10 novembre
Cartografia,Cartografia
Onano,Onano
Onano – MappaPosizione del comune di Onano nella provincia di Viterbo,Onano – MappaPosizione del comune di Onano nella provincia di Viterbo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
