Sutri comune,Sutri comune.1
,
"Sutri – VedutaPanorama aereo, 2023","Sutri – VedutaPanorama aereo, 2023"
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Provincia,Viterbo
Amministrazione,Amministrazione
Sindaco,Matteo Amori (lista civica di centro-destra) dal 15-5-2023
Territorio,Territorio
Coordinate,42°14′52″N 12°12′57″E
Altitudine,291 m s.l.m.
Superficie,"60,94 km²"
Abitanti,6 759[1] (30-11-2025)
Densità,"110,91 ab./km²"
Frazioni,"Casal Piumarone, Carnardo, Colle Diana, Fontevivola, Forcone, Gabellette, Monte Calderone, San Benedetto, San Martino, Valdiano"
Comuni confinanti,"Bassano Romano, Bracciano (RM), Capranica, Monterosi, Nepi, Ronciglione, Trevignano Romano (RM)"
Altre informazioni,Altre informazioni
Cod. postale,01015
Prefisso,0761
Fuso orario,UTC+1
Codice ISTAT,056049
Cod. catastale,L017
Targa,VT
Cl. sismica,zona 3B (sismicità bassa)[2]
Cl. climatica,"zona D, 1 937 GG[3]"
Nome abitanti,sutrini
Patrono,santa Dolcissima
Giorno festivo,16 settembre
Cartografia,Cartografia
Sutri,Sutri
Sutri – MappaPosizione del comune di Sutri nella provincia di Viterbo,Sutri – MappaPosizione del comune di Sutri nella provincia di Viterbo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
