Tessennano comune,Tessennano comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Provincia,Viterbo
Amministrazione,Amministrazione
Sindaco,Ermanno Nicolai (lista civica Uniti e liberi per Tessennano) dal 26-5-2014 (2º mandato dal 27-5-2019)
Territorio,Territorio
Coordinate,42°28′45″N 11°47′28″E
Altitudine,302 m s.l.m.
Superficie,"14,73 km²"
Abitanti,283[1] (30-11-2025)
Densità,"19,21 ab./km²"
Comuni confinanti,"Arlena di Castro, Canino, Cellere, Piansano, Tuscania"
Altre informazioni,Altre informazioni
Cod. postale,01010
Prefisso,0761
Fuso orario,UTC+1
Codice ISTAT,056051
Cod. catastale,L150
Targa,VT
Cl. sismica,zona 2B (sismicità media)[2]
Cl. climatica,"zona D, 1 957 GG[3]"
Nome abitanti,tessennanesi
Patrono,san Felice[non chiaro]
Giorno festivo,30 agosto
Cartografia,Cartografia
Tessennano,Tessennano
Tessennano – MappaPosizione del comune di Tessennano nella provincia di Viterbo,Tessennano – MappaPosizione del comune di Tessennano nella provincia di Viterbo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
