Vitorchiano comune,Vitorchiano comune.1
,
Vitorchiano – VedutaPalazzo comunale di Vitorchiano,Vitorchiano – VedutaPalazzo comunale di Vitorchiano
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Provincia,Viterbo
Amministrazione,Amministrazione
Sindaco,Ruggero Grassotti (lista civica) dal 5-6-2016 (2º mandato dal 4-10-2021)
Territorio,Territorio
Coordinate,42°27′59″N 12°10′24″E
Altitudine,285 m s.l.m.
Superficie,"30,14 km²"
Abitanti,5 216[1] (30-11-2025)
Densità,"173,06 ab./km²"
Frazioni,"Il Pallone, Paparano"
Comuni confinanti,"Bomarzo, Soriano nel Cimino, Viterbo"
Altre informazioni,Altre informazioni
Cod. postale,01030
Prefisso,0761
Fuso orario,UTC+1
Codice ISTAT,056060
Cod. catastale,M086
Targa,VT
Cl. sismica,zona 2B (sismicità media)[2]
Cl. climatica,"zona D, 1 917 GG[3]"
Nome abitanti,vitorchianesi
Patrono,san Michele
Giorno festivo,8 maggio
Cartografia,Cartografia
Vitorchiano,Vitorchiano
Vitorchiano – MappaPosizione del comune di Vitorchiano nella provincia di Viterbo,Vitorchiano – MappaPosizione del comune di Vitorchiano nella provincia di Viterbo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
