Arenzano comune,Arenzano comune.1
,
Arenzano – VedutaPanorama dal monte Tardia,Arenzano – VedutaPanorama dal monte Tardia
Localizzazione,Localizzazione
Stato,Italia
Regione,Liguria
Città metropolitana,Genova
Amministrazione,Amministrazione
Sindaco,Francesco Silvestrini (lista civica di centro-sinistra Insieme per Arenzano) dal 13-6-2022
Data di istituzione,1861
Territorio,Territorio
Coordinate,44°24′12.7″N 8°40′57.76″E
Altitudine,10 m s.l.m.
Superficie,"24,3 km²"
Abitanti,11 129[1] (30-11-2025)
Densità,"457,98 ab./km²"
Frazioni,Terralba
Comuni confinanti,"Cogoleto, Genova, Sassello (SV)"
Altre informazioni,Altre informazioni
Cod. postale,16011
Prefisso,010
Fuso orario,UTC+1
Codice ISTAT,010001
Cod. catastale,A388
Targa,GE
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona D, 1 521 GG[3]"
Nome abitanti,arenzanesi
Patrono,santi Nazario e Celso
Giorno festivo,28 luglio
Cartografia,Cartografia
Arenzano,Arenzano
Arenzano – MappaPosizione del comune di Arenzano nella città metropolitana di Genova,Arenzano – MappaPosizione del comune di Arenzano nella città metropolitana di Genova
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
