Bargagli comune,Bargagli comune.1
,
Bargagli – VedutaPanorama di Bargagli,Bargagli – VedutaPanorama di Bargagli
Localizzazione,Localizzazione
Stato,Italia
Regione,Liguria
Città metropolitana,Genova
Amministrazione,Amministrazione
Sindaco,Francesco Massoli (lista civica di centro-sinistra Insieme per Bargagli) dal 10-6-2024
Data di istituzione,1861
Territorio,Territorio
Coordinate,44°26′40.14″N 9°05′18.86″E
Altitudine,341 m s.l.m.
Superficie,"16,28 km²"
Abitanti,2 477[1] (30-11-2025)
Densità,"152,15 ab./km²"
Frazioni,"Bargagli Capoluogo, Maxena, Traso, Valle Lentro"
Comuni confinanti,"Davagna, Genova, Lumarzo, Sori"
Altre informazioni,Altre informazioni
Cod. postale,16021
Prefisso,010
Fuso orario,UTC+1
Codice ISTAT,010003
Cod. catastale,A658
Targa,GE
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 300 GG[3]"
Nome abitanti,bargaglini
Patrono,Assunzione della Vergine Maria
Giorno festivo,15 agosto
Cartografia,Cartografia
Bargagli,Bargagli
Bargagli – MappaPosizione del comune di Bargagli nella città metropolitana di Genova,Bargagli – MappaPosizione del comune di Bargagli nella città metropolitana di Genova
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
