Bolano comune,Bolano comune.1
,
Bolano – VedutaPanorama del borgo di Bolano,Bolano – VedutaPanorama del borgo di Bolano
Localizzazione,Localizzazione
Stato,Italia
Regione,Liguria
Provincia,La Spezia
Amministrazione,Amministrazione
Sindaco,Paolo Adorni (lista civica di centro-sinistra Uniti x la gente) dal 10-6-2024
Data di istituzione,1861
Territorio,Territorio
Coordinate,44°11′20.75″N 9°53′43.3″E
Altitudine,317 m s.l.m.
Superficie,"14,57 km²"
Abitanti,7 458[1] (30-11-2025)
Densità,"511,87 ab./km²"
Frazioni,"Ceparana, Montebello"
Comuni confinanti,"Aulla (MS), Follo, Podenzana (MS), Santo Stefano di Magra, Tresana (MS), Vezzano Ligure"
Altre informazioni,Altre informazioni
Cod. postale,19020
Prefisso,0187
Fuso orario,UTC+1
Codice ISTAT,011004
Cod. catastale,A932
Targa,SP
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 819 GG[3]"
Nome abitanti,bolanesi
Patrono,san Giuseppe
Giorno festivo,19 marzo
Cartografia,Cartografia
Bolano,Bolano
Bolano – MappaPosizione del comune di Bolano nella provincia della Spezia,Bolano – MappaPosizione del comune di Bolano nella provincia della Spezia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
