La Spezia comune,La Spezia comune.1
,
La Spezia – VedutaPanorama della città,La Spezia – VedutaPanorama della città
Localizzazione,Localizzazione
Stato,Italia
Regione,Liguria
Provincia,La Spezia
Amministrazione,Amministrazione
Sindaco,Pierluigi Peracchini (indipendente di centro-destra) dal 29-6-2017 (2º mandato dal 14-6-2022)
Territorio,Territorio
Coordinate,44°06′28.96″N 9°49′43.97″E
Altitudine,3 m s.l.m.
Superficie,"51,39 km²"
Abitanti,92 648[1] (30-11-2025)
Densità,"1 802,84 ab./km²"
Frazioni,"Biassa, Cadimare, Campiglia, Fabiano Alto/Coregna, Isola di Felettino, Marinasco/Sarbia, Marola, Pitelli, San Venerio"
Comuni confinanti,"Arcola, Follo, Lerici, Portovenere, Riccò del Golfo di Spezia, Riomaggiore, Vezzano Ligure"
Altre informazioni,Altre informazioni
Cod. postale,"19121-19126, 19131-19137"
Prefisso,0187
Fuso orario,UTC+1
Codice ISTAT,011015
Cod. catastale,E463
Targa,SP
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona D, 1 413 GG[3]"
Nome abitanti,spezzini
Patrono,san Giuseppe
Giorno festivo,19 marzo
Soprannome,Porta di Sion
Cartografia,Cartografia
La Spezia,La Spezia
La Spezia – MappaPosizione del comune della Spezia all'interno dell'omonima provincia,La Spezia – MappaPosizione del comune della Spezia all'interno dell'omonima provincia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
