Vernazza comune,Vernazza comune.1
,
"Vernazza – VedutaPanorama del borgo marinaro a sinistra, la parrocchiale di Santa Margherita e, a destra, il castello-torre dei Doria","Vernazza – VedutaPanorama del borgo marinaro a sinistra, la parrocchiale di Santa Margherita e, a destra, il castello-torre dei Doria"
Localizzazione,Localizzazione
Stato,Italia
Regione,Liguria
Provincia,La Spezia
Amministrazione,Amministrazione
Sindaco,Marco Fenelli (lista civica di centro-sinistra Vernazza-Corniglia) dal 10-6-2024
Data di istituzione,1861
Territorio,Territorio
Coordinate,44°08′06.58″N 9°41′01.87″E
Altitudine,3 m s.l.m.
Superficie,"12,3 km²"
Abitanti,678[1] (30-11-2025)
Densità,"55,12 ab./km²"
Frazioni,"Corniglia, Drignana, Muro, Prevo, San Bernardino, Fornacchi, Pianca, Paví"
Comuni confinanti,"Beverino, Monterosso al Mare, Pignone, Riccò del Golfo di Spezia, Riomaggiore"
Altre informazioni,Altre informazioni
Cod. postale,19018
Prefisso,0187
Fuso orario,UTC+1
Codice ISTAT,011030
Cod. catastale,L774
Targa,SP
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona D, 1 413 GG[3]"
Nome abitanti,vernazzesi
Patrono,santa Margherita d'Antiochia
Giorno festivo,20 luglio
Cartografia,Cartografia
Vernazza,Vernazza
Vernazza – MappaPosizione del comune di Vernazza nella provincia della Spezia,Vernazza – MappaPosizione del comune di Vernazza nella provincia della Spezia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
