Bajardo comune,Bajardo comune.1
,
Bajardo – VedutaPanorama di Bajardo,Bajardo – VedutaPanorama di Bajardo
Localizzazione,Localizzazione
Stato,Italia
Regione,Liguria
Provincia,Imperia
Amministrazione,Amministrazione
Sindaco,"Remo Moraglia (lista civica ""Bajardo nel cuore"") dal 13-6-2022"
Data di istituzione,1861
Territorio,Territorio
Coordinate,43°54′12.57″N 7°43′06.27″E
Altitudine,910 (max. 1 627m - min. 332m) m s.l.m.
Superficie,"24,32 km²"
Abitanti,355[1] (30-11-2025)
Densità,"14,6 ab./km²"
Frazioni,"Arma, Berzi, Castel d'Eolo, San Gregorio, Vignai"
Comuni confinanti,"Apricale, Badalucco, Castel Vittorio, Ceriana, Molini di Triora, Sanremo"
Altre informazioni,Altre informazioni
Cod. postale,18031
Prefisso,0184
Fuso orario,UTC+1
Codice ISTAT,008007
Cod. catastale,A581
Targa,IM
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 3 338 GG[3]"
Nome abitanti,baiardesi o bajocchi
Patrono,san Nicolò
Giorno festivo,6 dicembre
Cartografia,Cartografia
Bajardo,Bajardo
Bajardo – MappaPosizione del comune di Bajardo nella provincia di Imperia,Bajardo – MappaPosizione del comune di Bajardo nella provincia di Imperia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
