Ospedaletti comune,Ospedaletti comune.1
,
Ospedaletti – VedutaPanorama di Ospedaletti,Ospedaletti – VedutaPanorama di Ospedaletti
Localizzazione,Localizzazione
Stato,Italia
Regione,Liguria
Provincia,Imperia
Amministrazione,Amministrazione
Sindaco,Daniele Cimiotti (lista civica di centro-destra Rilancio e sviluppo) dal 27-5-2019 (2º mandato dal 10-6-2024)
Data di istituzione,1923
Territorio,Territorio
Coordinate,43°48′02.12″N 7°43′03.7″E
Altitudine,5 m s.l.m.
Superficie,"5,45 km²"
Abitanti,3 214[1] (30-11-2025)
Densità,"589,72 ab./km²"
Comuni confinanti,"Bordighera, Sanremo, Seborga, Vallebona"
Altre informazioni,Altre informazioni
Cod. postale,18014
Prefisso,0184
Fuso orario,UTC+1
Codice ISTAT,008039
Cod. catastale,G164
Targa,IM
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona C, 1 057 GG[3]"
Nome abitanti,ospedalettesi
Patrono,san Giovanni Battista
Giorno festivo,24 giugno
Cartografia,Cartografia
Ospedaletti,Ospedaletti
Ospedaletti – MappaPosizione del comune di Ospedaletti nella provincia di Imperia,Ospedaletti – MappaPosizione del comune di Ospedaletti nella provincia di Imperia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
