Riva Ligure comune,Riva Ligure comune.1
,
Riva Ligure – VedutaPanorama di Riva Ligure,Riva Ligure – VedutaPanorama di Riva Ligure
Localizzazione,Localizzazione
Stato,Italia
Regione,Liguria
Provincia,Imperia
Amministrazione,Amministrazione
Sindaco,Giorgio Giuffra (lista civica di centro-destra Riva) dal 26-5-2014 (3º mandato dal 10-6-2024)
Data di istituzione,1954
Territorio,Territorio
Coordinate,43°50′14.92″N 7°52′54.77″E
Altitudine,2 m s.l.m.
Superficie,"2,07 km²"
Abitanti,2 709[1] (30-11-2025)
Densità,"1 308,7 ab./km²"
Frazioni,"Regione Casai, Regione Prati"
Comuni confinanti,"Castellaro, Pompeiana, Santo Stefano al Mare, Taggia"
Altre informazioni,Altre informazioni
Cod. postale,18015
Prefisso,0184
Fuso orario,UTC+1
Codice ISTAT,008050
Cod. catastale,H328
Targa,IM
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona C, 1 050 GG[3]"
Nome abitanti,rivaschi o rivesi
Patrono,san Maurizio
Giorno festivo,22 settembre
Cartografia,Cartografia
Riva Ligure,Riva Ligure
Riva Ligure – MappaPosizione del comune di Riva Ligure nella provincia di Imperia,Riva Ligure – MappaPosizione del comune di Riva Ligure nella provincia di Imperia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
