Altare comune,Altare comune.1
,
Altare – VedutaVecchio panorama di Altare,Altare – VedutaVecchio panorama di Altare
Localizzazione,Localizzazione
Stato,Italia
Regione,Liguria
Provincia,Savona
Amministrazione,Amministrazione
Sindaco,Roberto Briano (lista civica di centro-sinistra Insieme per Altare) dal 12-6-2017 (2º mandato dal 13-6-2022)
Data di istituzione,1861
Territorio,Territorio
Coordinate,44°20′10.32″N 8°20′38.4″E
Altitudine,398 m s.l.m.
Superficie,"11,3 km²"
Abitanti,1 931[1] (30-11-2025)
Densità,"170,88 ab./km²"
Comuni confinanti,"Cairo Montenotte, Carcare, Mallare, Quiliano, Savona"
Altre informazioni,Altre informazioni
Cod. postale,17041
Prefisso,019
Fuso orario,UTC+1
Codice ISTAT,009005
Cod. catastale,A226
Targa,SV
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 264 GG[3]"
Nome abitanti,altaresi
Patrono,san Rocco
Giorno festivo,16 agosto
Cartografia,Cartografia
Altare,Altare
Altare – MappaPosizione del comune di Altare nella provincia di Savona,Altare – MappaPosizione del comune di Altare nella provincia di Savona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
