Balestrino comune,Balestrino comune.1
,
Balestrino – VedutaScorcio del borgo vecchio di Balestrino,Balestrino – VedutaScorcio del borgo vecchio di Balestrino
Localizzazione,Localizzazione
Stato,Italia
Regione,Liguria
Provincia,Savona
Amministrazione,Amministrazione
Sindaco,Stefano Saturno (lista civica di centro-destra Balestrino oggi) dal 4-10-2021
Data di istituzione,1861
Territorio,Territorio
Coordinate,44°07′30.47″N 8°10′17.47″E
Altitudine,371 m s.l.m.
Superficie,"11,27 km²"
Abitanti,516[1] (30-11-2025)
Densità,"45,79 ab./km²"
Frazioni,"Bergalla, Borgo, Cuneo, Poggio"
Comuni confinanti,"Castelvecchio di Rocca Barbena, Ceriale, Cisano sul Neva, Toirano, Zuccarello"
Altre informazioni,Altre informazioni
Cod. postale,17020
Prefisso,0182
Fuso orario,UTC+1
Codice ISTAT,009008
Cod. catastale,A593
Targa,SV
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 190 GG[3]"
Nome abitanti,balestrinesi
Patrono,sant'Andrea
Giorno festivo,30 novembre
Cartografia,Cartografia
Balestrino,Balestrino
Balestrino – MappaPosizione del comune di Balestrino nella provincia di Savona,Balestrino – MappaPosizione del comune di Balestrino nella provincia di Savona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
