Giusvalla comune,Giusvalla comune.1
,
Giusvalla – VedutaPanorama di Giusvalla,Giusvalla – VedutaPanorama di Giusvalla
Localizzazione,Localizzazione
Stato,Italia
Regione,Liguria
Provincia,Savona
Amministrazione,Amministrazione
Sindaco,Marco Perrone (lista civica Per Giusvalla) dal 25-5-2012 (3º mandato dal 13-6-2022)
Data di istituzione,1861
Territorio,Territorio
Coordinate,44°26′59.95″N 8°23′36.45″E
Altitudine,475 m s.l.m.
Superficie,"19,7 km²"
Abitanti,388[1] (30-11-2025)
Densità,"19,7 ab./km²"
Comuni confinanti,"Cairo Montenotte, Dego, Mioglia, Pareto (AL), Pontinvrea, Spigno Monferrato (AL)"
Altre informazioni,Altre informazioni
Cod. postale,17010
Prefisso,019
Fuso orario,UTC+1
Codice ISTAT,009032
Cod. catastale,E066
Targa,SV
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 439 GG[3]"
Nome abitanti,giusvallini
Patrono,san Matteo
Giorno festivo,21 settembre
Cartografia,Cartografia
Giusvalla,Giusvalla
Giusvalla – MappaPosizione del comune di Giusvalla nella provincia di Savona,Giusvalla – MappaPosizione del comune di Giusvalla nella provincia di Savona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
