Boffalora sopra Ticino comune,Boffalora sopra Ticino comune.1
,
Boffalora sopra Ticino – VedutaPanorama di Boffalora sopra Ticino con il Naviglio Grande,Boffalora sopra Ticino – VedutaPanorama di Boffalora sopra Ticino con il Naviglio Grande
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Città metropolitana,Milano
Amministrazione,Amministrazione
Sindaco,Sabina Doniselli (LN - lista civica di centro-destra) dal 26-5-2019 (2º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,45°28′N 8°50′E
Altitudine,142 m s.l.m.
Superficie,"7,65 km²"
Abitanti,4 089[1] (30-11-2025)
Densità,"534,51 ab./km²"
Frazioni,"Località Magnana, Pontenuovo di Boffalora"
Comuni confinanti,"Bernate Ticino, Cerano (NO), Magenta, Marcallo con Casone, Trecate (NO)"
Altre informazioni,Altre informazioni
Cod. postale,20010
Prefisso,02
Fuso orario,UTC+1
Codice ISTAT,015026
Cod. catastale,A920
Targa,MI
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 470 GG[3]"
Nome abitanti,boffaloresi
Patrono,Santa Maria della Neve
Giorno festivo,5 agosto
Cartografia,Cartografia
Boffalora sopra Ticino,Boffalora sopra Ticino
Boffalora sopra Ticino – MappaPosizione del comune di Boffalora sopra Ticino nella città metropolitana di Milano,Boffalora sopra Ticino – MappaPosizione del comune di Boffalora sopra Ticino nella città metropolitana di Milano
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
