Cusago comune,Cusago comune.1
,
Cusago – VedutaPanorama dell'abitato di Cusago,Cusago – VedutaPanorama dell'abitato di Cusago
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Città metropolitana,Milano
Amministrazione,Amministrazione
Sindaco,Gianmarco Reina (lista civica SiAmo Cusago) dal 10-6-2024
Territorio,Territorio
Coordinate,45°27′N 9°02′E
Altitudine,126 m s.l.m.
Superficie,"11,46 km²"
Abitanti,4 867[1] (30-11-2025)
Densità,"424,69 ab./km²"
Frazioni,"Cusago di Sotto, Monzoro"
Comuni confinanti,"Bareggio, Cisliano, Cornaredo, Gaggiano, Milano, Settimo Milanese, Trezzano sul Naviglio"
Altre informazioni,Altre informazioni
Cod. postale,20047
Prefisso,02
Fuso orario,UTC+1
Codice ISTAT,015097
Cod. catastale,D229
Targa,MI
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 404 GG[3]"
Nome abitanti,cusaghesi
Patrono,san Vincenzo Ferreri
Giorno festivo,prima domenica di maggio
Cartografia,Cartografia
Cusago,Cusago
Cusago – MappaPosizione del comune di Cusago nella città metropolitana di Milano,Cusago – MappaPosizione del comune di Cusago nella città metropolitana di Milano
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
