Bergamo comune,Bergamo comune.1
,
Bergamo – VedutaVista sulla Città alta dalla via al Castello,Bergamo – VedutaVista sulla Città alta dalla via al Castello
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Bergamo
Amministrazione,Amministrazione
Sindaco,Elena Carnevali (PD) dall'11-6-2024
Territorio,Territorio
Coordinate,45°41′42″N 9°40′12″E
Altitudine,249 m s.l.m.
Superficie,"40,16[1] km²"
Abitanti,120 620[2] (30-11-2025)
Densità,"3 003,49 ab./km²"
Frazioni,nessuna[3]; vedi Quartieri di Bergamo
Comuni confinanti,"Azzano San Paolo, Curno, Gorle, Lallio, Mozzo, Orio al Serio, Paladina, Ponteranica, Seriate, Sorisole, Stezzano, Torre Boldone, Treviolo, Valbrembo"
Altre informazioni,Altre informazioni
Cod. postale,24121–24129
Prefisso,035
Fuso orario,UTC+1
Codice ISTAT,016024
Cod. catastale,A794
Targa,BG
Cl. sismica,zona 3 (sismicità bassa)[4]
Cl. climatica,"zona E, 2 533 GG[5]"
Nome abitanti,bergamaschi o orobici[6]
Patrono,sant'Alessandro di Bergamo
Giorno festivo,26 agosto
PIL procapite,"(nominale) 28 607,0 €[7]"
Soprannome,"Capoluogo Orobico, Città dei Mille"
Cartografia,Cartografia
Bergamo,Bergamo
Bergamo – MappaPosizione del comune di Bergamo nell'omonima provincia,Bergamo – MappaPosizione del comune di Bergamo nell'omonima provincia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
