Bracca comune,Bracca comune.1
,
Bracca – VedutaVeduta,Bracca – VedutaVeduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Bergamo
Amministrazione,Amministrazione
Sindaco,Giacomo Gentili (lista civica Bracca Viva) dal 26-5-2019
Territorio,Territorio
Coordinate,45°49′N 9°43′E
Altitudine,720 m s.l.m.
Superficie,"5,47 km²"
Abitanti,708[1] (30-11-2025)
Densità,"129,43 ab./km²"
Frazioni,"Bruga, Cornalta, Fieno, Follo, Fonte Bracca, Galleria, Molino Zocchi Canarino, Ponte Merlo, Pozze, Pregaroldi, Sottoripa Usdè, Staviglio, Truchel, Zubioni"
Comuni confinanti,"Algua, Costa Serina, San Pellegrino Terme, Zogno"
Altre informazioni,Altre informazioni
Cod. postale,24010
Prefisso,0345
Fuso orario,UTC+1
Codice ISTAT,016035
Cod. catastale,B112
Targa,BG
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 890 GG[3]"
Nome abitanti,bracchesi
Patrono,sant'Andrea Apostolo
Giorno festivo,30 novembre
Cartografia,Cartografia
Bracca,Bracca
Bracca – MappaPosizione del comune di Bracca nella provincia di Bergamo,Bracca – MappaPosizione del comune di Bracca nella provincia di Bergamo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
