Capriate San Gervasio comune,Capriate San Gervasio comune.1
,
Capriate San Gervasio – VedutaPanorama,Capriate San Gervasio – VedutaPanorama
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Bergamo
Amministrazione,Amministrazione
Sindaco,Cristiano Esposito (Lega) dal 15-5-2023
Territorio,Territorio
Coordinate,45°36′40.64″N 9°31′39.68″E
Altitudine,190 m s.l.m.
Superficie,"5,83 km²"
Abitanti,8 331[1] (30-11-2025)
Densità,"1 428,99 ab./km²"
Frazioni,"Capriate d'Adda (sede comunale), Crespi d'Adda, San Gervasio sull'Adda[2]"
Comuni confinanti,"Bottanuco, Brembate, Canonica d'Adda, Filago, Trezzo sull'Adda (MI), Vaprio d'Adda (MI)"
Altre informazioni,Altre informazioni
Cod. postale,24042
Prefisso,02
Fuso orario,UTC+1
Codice ISTAT,016051
Cod. catastale,B703
Targa,BG
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 428 GG[4]"
Nome abitanti,capriatesi
Patrono,sant'Alessandro
Giorno festivo,26 agosto
Cartografia,Cartografia
Capriate San Gervasio,Capriate San Gervasio
Capriate San Gervasio – MappaPosizione del comune di Capriate San Gervasio nella provincia di Bergamo,Capriate San Gervasio – MappaPosizione del comune di Capriate San Gervasio nella provincia di Bergamo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
