Cavernago comune,Cavernago comune.1
,
Cavernago – VedutaCastello di Malpaga,Cavernago – VedutaCastello di Malpaga
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Bergamo
Amministrazione,Amministrazione
Sindaco,Giuseppe Togni (lista civica Progetto Cavernago) dal 26-5-2014 (3º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,45°38′N 9°46′E
Altitudine,199 m s.l.m.
Superficie,"7,65 km²"
Abitanti,2 966[1] (30-11-2025)
Densità,"387,71 ab./km²"
Frazioni,"Malpaga, Bettole[2]"
Comuni confinanti,"Calcinate, Ghisalba, Grassobbio, Seriate, Urgnano, Zanica"
Altre informazioni,Altre informazioni
Cod. postale,24050
Prefisso,035
Fuso orario,UTC+1
Codice ISTAT,016066
Cod. catastale,C396
Targa,BG
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 369 GG[4]"
Nome abitanti,cavernaghesi
Patrono,san Marco
Giorno festivo,25 aprile
Cartografia,Cartografia
Cavernago,Cavernago
Cavernago – MappaPosizione del comune di Cavernago nella provincia di Bergamo,Cavernago – MappaPosizione del comune di Cavernago nella provincia di Bergamo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
