Grumello del Monte comune,Grumello del Monte comune.1
,
Grumello del Monte – VedutaPanorama,Grumello del Monte – VedutaPanorama
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Bergamo
Amministrazione,Amministrazione
Sindaco,Floriano Caldara (Prospettiva Grumello - Lista civica) dal 10-6-2024
Territorio,Territorio
Coordinate,45°38′N 9°52′E
Altitudine,208 m s.l.m.
Superficie,"9,94 km²"
Abitanti,7 680[1] (30-11-2025)
Densità,"772,64 ab./km²"
Frazioni,nessuna[2]
Comuni confinanti,"Carobbio degli Angeli, Castelli Calepio, Chiuduno, Gandosso, Palazzolo sull'Oglio (BS), Telgate"
Altre informazioni,Altre informazioni
Cod. postale,24064
Prefisso,035
Fuso orario,UTC+1
Codice ISTAT,016120
Cod. catastale,E219
Targa,BG
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 365 GG[4]"
Nome abitanti,grumellesi
Patrono,"santi Iosesse, Traiano e Barnaclate"
Giorno festivo,terza domenica di ottobre
Cartografia,Cartografia
Grumello del Monte,Grumello del Monte
Grumello del Monte – MappaPosizione del comune di Grumello del Monte nella provincia di Bergamo,Grumello del Monte – MappaPosizione del comune di Grumello del Monte nella provincia di Bergamo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
