Lallio comune,Lallio comune.1
,
Lallio – VedutaChiesa dei Santi Bartolomeo e Stefano,Lallio – VedutaChiesa dei Santi Bartolomeo e Stefano
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Bergamo
Amministrazione,Amministrazione
Sindaco,Sara Peruzzini (lista civica Lallio e poi) dal 27-5-2019
Territorio,Territorio
Coordinate,45°39′58″N 9°37′53″E
Altitudine,216 m s.l.m.
Superficie,"2,16[1] km²"
Abitanti,4 254[2] (30-11-2025)
Densità,"1 969,44 ab./km²"
Frazioni,nessuna[3]
Comuni confinanti,"Bergamo, Dalmine, Stezzano, Treviolo"
Altre informazioni,Altre informazioni
Cod. postale,24040
Prefisso,035
Fuso orario,UTC+1
Codice ISTAT,016123
Cod. catastale,E422
Targa,BG
Cl. sismica,zona 3 (sismicità bassa)[4]
Cl. climatica,"zona E, 2 376 GG[5]"
Nome abitanti,lalliesi
Patrono,santi Bartolomeo e Stefano
Giorno festivo,prima domenica di settembre
Cartografia,Cartografia
Lallio,Lallio
Lallio – MappaPosizione del comune di Lallio nella provincia di Bergamo,Lallio – MappaPosizione del comune di Lallio nella provincia di Bergamo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
