Pagazzano comune,Pagazzano comune.1
,
"Pagazzano – VedutaCentro, municipio e chiesa parrocchiale","Pagazzano – VedutaCentro, municipio e chiesa parrocchiale"
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Bergamo
Amministrazione,Amministrazione
Sindaco,Raffaele Moriggi (lista civica) dal 10-06-2024
Territorio,Territorio
Coordinate,45°32′03.4″N 9°40′16.17″E
Altitudine,126 m s.l.m.
Superficie,"5,24[1] km²"
Abitanti,2 235[2] (30-11-2025)
Densità,"426,53 ab./km²"
Frazioni,nessuna[3]
Comuni confinanti,"Brignano Gera d'Adda, Bariano, Morengo, Caravaggio"
Altre informazioni,Altre informazioni
Cod. postale,24040
Prefisso,0363
Fuso orario,UTC+1
Codice ISTAT,016154
Cod. catastale,G233
Targa,BG
Cl. sismica,zona 3 (sismicità bassa)[4]
Cl. climatica,"zona E, 2 383 GG[5]"
Nome abitanti,pagazzanesi
Patrono,santi Nazario e Celso
Giorno festivo,27 agosto
Cartografia,Cartografia
Pagazzano,Pagazzano
Pagazzano – MappaPosizione del comune di Pagazzano nella provincia di Bergamo,Pagazzano – MappaPosizione del comune di Pagazzano nella provincia di Bergamo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
