Suisio comune,Suisio comune.1
,
Suisio – VedutaPiazza Papa Giovanni XXIII,Suisio – VedutaPiazza Papa Giovanni XXIII
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Bergamo
Amministrazione,Amministrazione
Sindaco,Edoardo Bertuetti (lista civica - Lega) dal 10-6-2024
Territorio,Territorio
Coordinate,45°39′20.52″N 9°30′01.08″E
Altitudine,234 m s.l.m.
Superficie,"4,59 km²"
Abitanti,3 779[1] (30-11-2025)
Densità,"823,31 ab./km²"
Frazioni,"Castelletto, Piazza Amati[2]"
Comuni confinanti,"Bottanuco, Chignolo d'Isola, Cornate d'Adda (MB), Medolago"
Altre informazioni,Altre informazioni
Cod. postale,24040
Prefisso,035
Fuso orario,UTC+1
Codice ISTAT,016209
Cod. catastale,I997
Targa,BG
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 402 GG[4]"
Nome abitanti,suisiesi
Patrono,sant'Andrea
Giorno festivo,30 novembre
Cartografia,Cartografia
Suisio,Suisio
Suisio – MappaPosizione del comune di Suisio nella provincia di Bergamo,Suisio – MappaPosizione del comune di Suisio nella provincia di Bergamo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
