Villa d'Ogna comune,Villa d'Ogna comune.1
,
Villa d'Ogna – VedutaIl centro abitato visto da Nord,Villa d'Ogna – VedutaIl centro abitato visto da Nord
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Bergamo
Amministrazione,Amministrazione
Sindaco,Luca Pendezza (lista civica) dal 15-05-2023
Territorio,Territorio
Coordinate,45°54′N 9°56′E
Altitudine,542 m s.l.m.
Superficie,"5,16 km²"
Abitanti,1 782[1] (30-11-2025)
Densità,"345,35 ab./km²"
Frazioni,"Biciocca, Festi Rasini, Ogna, Sant'Alberto[2]"
Comuni confinanti,"Ardesio, Clusone, Oltressenda Alta, Parre, Piario, Rovetta"
Altre informazioni,Altre informazioni
Cod. postale,24020
Prefisso,0346
Fuso orario,UTC+1
Codice ISTAT,016241
Cod. catastale,L938
Targa,BG
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 839 GG[4]"
Nome abitanti,villaonesi
Patrono,san Matteo
Giorno festivo,21 settembre
Cartografia,Cartografia
Villa d'Ogna,Villa d'Ogna
Villa d'Ogna – MappaPosizione del comune di Villa d'Ogna nella provincia di Bergamo,Villa d'Ogna – MappaPosizione del comune di Villa d'Ogna nella provincia di Bergamo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
