Villa di Serio comune,Villa di Serio comune.1
,
"Villa di Serio – VedutaPanorama di Villa di Serio, con i monti Bastia e del Roccolo sullo sfondo","Villa di Serio – VedutaPanorama di Villa di Serio, con i monti Bastia e del Roccolo sullo sfondo"
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Bergamo
Amministrazione,Amministrazione
Sindaco,Mario Morotti (lista civica VillAperta) dal 09-06-2024
Territorio,Territorio
Coordinate,45°43′18″N 9°44′06″E
Altitudine,275 m s.l.m.
Superficie,"4,6 km²"
Abitanti,6 487[1] (30-11-2025)
Densità,"1 410,22 ab./km²"
Frazioni,Rinnovata[2]
Comuni confinanti,"Alzano Lombardo, Nembro, Ranica, Scanzorosciate"
Altre informazioni,Altre informazioni
Cod. postale,24020
Prefisso,035
Fuso orario,UTC+1
Codice ISTAT,016240
Cod. catastale,L936
Targa,BG
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 460 GG[4]"
Nome abitanti,villesi
Patrono,santo Stefano
Giorno festivo,26 aprile. Festa della Beata Vergine del Buon Consiglio
Cartografia,Cartografia
Villa di Serio,Villa di Serio
Villa di Serio – MappaPosizione del comune di Villa di Serio nella provincia di Bergamo,Villa di Serio – MappaPosizione del comune di Villa di Serio nella provincia di Bergamo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
