Azzano Mella comune,Azzano Mella comune.1
,
Azzano Mella – VedutaLa chiesa parrocchiale dei Santi Pietro e Paolo,Azzano Mella – VedutaLa chiesa parrocchiale dei Santi Pietro e Paolo
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Brescia
Amministrazione,Amministrazione
Sindaco,Matteo Ferrari (centrodestra) dal 4-10-2021
Territorio,Territorio
Coordinate,45°27′N 10°07′E
Altitudine,95 m s.l.m.
Superficie,"10,57 km²"
Abitanti,3 518[1] (30-11-2025)
Densità,"332,83 ab./km²"
Frazioni,Pontegatello
Comuni confinanti,"Capriano del Colle, Castel Mella, Dello, Lograto, Mairano, Torbole Casaglia"
Altre informazioni,Altre informazioni
Cod. postale,25020
Prefisso,030
Fuso orario,UTC+1
Codice ISTAT,017008
Cod. catastale,A529
Targa,BS
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 570 GG[3]"
Nome abitanti,azzanesi
Patrono,santi Pietro e Paolo
Giorno festivo,29 giugno
Cartografia,Cartografia
Azzano Mella,Azzano Mella
Azzano Mella – MappaPosizione del comune di Azzano Mella nella provincia di Brescia,Azzano Mella – MappaPosizione del comune di Azzano Mella nella provincia di Brescia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
