Braone comune,Braone comune.1
,
Braone – Veduta,Braone – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Brescia
Amministrazione,Amministrazione
Sindaco,Sergio Mattioli (lista civica) dal 27-5-2019
Territorio,Territorio
Coordinate,45°59′22″N 10°20′34″E
Altitudine,394 m s.l.m.
Superficie,"13,36 km²"
Abitanti,682[1] (30-11-2025)
Densità,"51,05 ab./km²"
Comuni confinanti,"Breno, Cerveno, Ceto, Losine, Niardo"
Altre informazioni,Altre informazioni
Cod. postale,25040
Prefisso,0364
Fuso orario,UTC+1
Codice ISTAT,017027
Cod. catastale,B124
Targa,BS
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 982 GG[3]"
Nome abitanti,braonesi
Patrono,Purificazione di Maria Vergine (Candelora)
Giorno festivo,2 febbraio
Cartografia,Cartografia
Braone,Braone
Braone – MappaPosizione del comune di Braone nella provincia di Brescia,Braone – MappaPosizione del comune di Braone nella provincia di Brescia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
