Castelcovati comune,Castelcovati comune.1
,
Castelcovati – Veduta,Castelcovati – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Brescia
Amministrazione,Amministrazione
Sindaco,Fabiana Valli (Lega - FdI) dal 15-5-2023
Territorio,Territorio
Coordinate,45°30′N 9°57′E
Altitudine,121 m s.l.m.
Superficie,"6,14[1] km²"
Abitanti,7 079[2] (30-11-2025)
Densità,"1 152,93 ab./km²"
Comuni confinanti,"Castrezzato, Chiari, Comezzano-Cizzago"
Altre informazioni,Altre informazioni
Lingue,italiano
Cod. postale,25030
Prefisso,030
Fuso orario,UTC+1
Codice ISTAT,017041
Cod. catastale,C072
Targa,BS
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 251 GG[4]"
Nome abitanti,covatesi/castelcovatesi
Patrono,sant'Antonio Abate
Giorno festivo,17 gennaio
PIL procapite,"(nominale) 15636,47 €[5]"
Cartografia,Cartografia
Castelcovati,Castelcovati
Castelcovati – MappaPosizione del comune di Castelcovati nella provincia di Brescia,Castelcovati – MappaPosizione del comune di Castelcovati nella provincia di Brescia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
