Cellatica comune,Cellatica comune.1
,
Cellatica – VedutaPiazza Martiri della Libertà,Cellatica – VedutaPiazza Martiri della Libertà
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Brescia
Amministrazione,Amministrazione
Sindaco,Marco Grassini (vicesindaco f.f.) dal 6-6-2025
Territorio,Territorio
Coordinate,45°35′N 10°11′E
Altitudine,170-400 m s.l.m.
Superficie,"6,55 km²"
Abitanti,4 807[1] (30-11-2025)
Densità,"733,89 ab./km²"
Frazioni,Fantasina
Comuni confinanti,"Brescia, Collebeato, Concesio, Gussago"
Altre informazioni,Altre informazioni
Cod. postale,25060
Prefisso,030
Fuso orario,UTC+1
Codice ISTAT,017048
Cod. catastale,C439
Targa,BS
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 410 GG[3]"
Nome abitanti,cellatichesi
Patrono,san Giorgio
Giorno festivo,23 aprile
Cartografia,Cartografia
Cellatica,Cellatica
Cellatica – MappaPosizione del comune di Cellatica nella provincia di Brescia,Cellatica – MappaPosizione del comune di Cellatica nella provincia di Brescia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
