Idro comune,Idro comune.1
,
Idro – VedutaIdro visto da cima Crénch,Idro – VedutaIdro visto da cima Crénch
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Brescia
Amministrazione,Amministrazione
Sindaco,Aldo Armani (lista civica) dal 27-5-2019
Territorio,Territorio
Coordinate,45°44′20″N 10°28′40″E
Altitudine,375 m s.l.m.
Superficie,"22,89 km²"
Abitanti,1 876[1] (30-11-2025)
Densità,"81,96 ab./km²"
Frazioni,"Crone, Lemprato, Pieve Vecchia, Tre Capitelli, Vantone, Vesta"
Comuni confinanti,"Anfo, Bagolino, Bondone (TN), Capovalle, Lavenone, Treviso Bresciano, Valvestino"
Altre informazioni,Altre informazioni
Cod. postale,25074
Prefisso,0365
Fuso orario,UTC+1
Codice ISTAT,017082
Cod. catastale,E280
Targa,BS
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 746 GG[3]"
Nome abitanti,idrensi
Cartografia,Cartografia
Idro,Idro
Idro – MappaPosizione del comune di Idro nella provincia di Brescia,Idro – MappaPosizione del comune di Idro nella provincia di Brescia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
