Isorella comune,Isorella comune.1
,
Isorella – VedutaPiazza Roma,Isorella – VedutaPiazza Roma
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Brescia
Amministrazione,Amministrazione
Sindaco,Simone Bellardi (centro-destra) dal 4-10-2021
Territorio,Territorio
Coordinate,45°18′33.12″N 10°19′23.88″E
Altitudine,56 m s.l.m.
Superficie,"15,33[1] km²"
Abitanti,4 132[2] (30-11-2025)
Densità,"269,54 ab./km²"
Comuni confinanti,"Calvisano, Gambara, Ghedi, Gottolengo, Remedello, Visano"
Altre informazioni,Altre informazioni
Cod. postale,25010
Prefisso,030
Fuso orario,UTC+1
Codice ISTAT,017086
Cod. catastale,E364
Targa,BS
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 399 GG[4]"
Nome abitanti,isorellesi
Patrono,san Rocco
Giorno festivo,16 agosto
Cartografia,Cartografia
Isorella,Isorella
Isorella – MappaPosizione del comune di Isorella nella provincia di Brescia,Isorella – MappaPosizione del comune di Isorella nella provincia di Brescia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
