Pralboino comune,Pralboino comune.1
,
Pralboino – Veduta,Pralboino – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Brescia
Amministrazione,Amministrazione
Sindaco,Riccardo Romagnoli (lista civica “La Civica per Pralboino”) dal 10-6-2024
Territorio,Territorio
Coordinate,45°16′06″N 10°13′06″E
Altitudine,47 m s.l.m.
Superficie,"17,16 km²"
Abitanti,2 844[1] (30-11-2025)
Densità,"165,73 ab./km²"
Comuni confinanti,"Gambara, Gottolengo, Milzano, Ostiano (CR), Pavone del Mella, Seniga"
Altre informazioni,Altre informazioni
Cod. postale,25020
Prefisso,030
Fuso orario,UTC+1
Codice ISTAT,017152
Cod. catastale,G977
Targa,BS
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 275 GG[3]"
Nome abitanti,pralboinesi
Patrono,"Sant'Andrea, San Flaviano"
Giorno festivo,seconda domenica di ottobre
Cartografia,Cartografia
Pralboino,Pralboino
Pralboino – MappaPosizione del comune di Pralboino nella provincia di Brescia,Pralboino – MappaPosizione del comune di Pralboino nella provincia di Brescia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
