Trenzano comune,Trenzano comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Brescia
Amministrazione,Amministrazione
Sindaco,Italo Spalenza (lista civica) dall'11-6-2018 (2º mandato dal 15-5-2023)
Territorio,Territorio
Coordinate,45°29′N 10°01′E
Altitudine,108 m s.l.m.
Superficie,"20,1 km²"
Abitanti,5 556[1] (30-11-2025)
Densità,"276,42 ab./km²"
Frazioni,"Cossirano, Pieve, Convento, Tezze, Fornaci"
Comuni confinanti,"Berlingo, Brandico, Castrezzato, Comezzano-Cizzago, Corzano, Maclodio, Rovato"
Altre informazioni,Altre informazioni
Cod. postale,25030
Prefisso,030
Fuso orario,UTC+1
Codice ISTAT,017190
Cod. catastale,L380
Targa,BS
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 410 GG[3]"
Nome abitanti,Trenzanesi
Patrono,Gottardo di Hildesheim
Giorno festivo,4 maggio
Cartografia,Cartografia
Trenzano,Trenzano
Trenzano – MappaPosizione del comune di Trenzano nella provincia di Brescia,Trenzano – MappaPosizione del comune di Trenzano nella provincia di Brescia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
