Urago d'Oglio comune,Urago d'Oglio comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Brescia
Amministrazione,Amministrazione
Sindaco,Gianluigi Brugali (lista civica) dal 26-5-2019
Territorio,Territorio
Coordinate,45°31′N 9°52′E
Altitudine,131 m s.l.m.
Superficie,"10,68 km²"
Abitanti,3 831[1] (30-11-2025)
Densità,"358,71 ab./km²"
Comuni confinanti,"Calcio (BG), Chiari, Pontoglio, Rudiano"
Altre informazioni,Altre informazioni
Cod. postale,25030
Prefisso,030
Fuso orario,UTC+1
Codice ISTAT,017192
Cod. catastale,L494
Targa,BS
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 251 GG[3]"
Nome abitanti,uraghesi
Patrono,san Lorenzo
Giorno festivo,10 agosto
Cartografia,Cartografia
Urago d'Oglio,Urago d'Oglio
Urago d'Oglio – MappaPosizione del comune di Urago d'Oglio nella provincia di Brescia,Urago d'Oglio – MappaPosizione del comune di Urago d'Oglio nella provincia di Brescia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
