Albavilla comune,Albavilla comune.1
,
Albavilla – VedutaVista del centro storico di Albavilla,Albavilla – VedutaVista del centro storico di Albavilla
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Como
Amministrazione,Amministrazione
Sindaco,Giuliana Castelnuovo (lista civica di centrodestra Vivere Albavilla) dal 25-5-2014 (3º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,45°48′N 9°11′E
Altitudine,427 m s.l.m.
Superficie,"10,38 km²"
Abitanti,6 363[1] (30-11-2025)
Densità,"613,01 ab./km²"
Frazioni,"Carcano, Corogna, Molena, Saruggia, Vill'Albese"
Comuni confinanti,"Albese con Cassano, Alserio, Erba, Faggeto Lario, Monguzzo, Orsenigo"
Altre informazioni,Altre informazioni
Cod. postale,22031
Prefisso,031
Fuso orario,UTC+1
Codice ISTAT,013003
Cod. catastale,A143
Targa,CO
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 679 GG[3]"
Nome abitanti,albavillesi
Patrono,san Vittore
Giorno festivo,8 maggio
Cartografia,Cartografia
Albavilla,Albavilla
Albavilla – MappaPosizione del comune di Albavilla nella provincia di Como,Albavilla – MappaPosizione del comune di Albavilla nella provincia di Como
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
