Appiano Gentile comune,Appiano Gentile comune.1
,
Appiano Gentile – VedutaChiesa di Santo Stefano e uffici comunali,Appiano Gentile – VedutaChiesa di Santo Stefano e uffici comunali
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Como
Amministrazione,Amministrazione
Sindaco,Fabrizio Luigi Rusconi (lista civica Insieme per Appiano) dal 13-6-2022
Territorio,Territorio
Coordinate,45°44′18″N 8°58′47″E
Altitudine,366 m s.l.m.
Superficie,"12,81 km²"
Abitanti,7 757[1] (30-11-2025)
Densità,"605,54 ab./km²"
Frazioni,San Bartolomeo al Bosco
Comuni confinanti,"Beregazzo con Figliaro, Bulgarograsso, Carbonate, Castelnuovo Bozzente, Guanzate, Lurago Marinone, Lurate Caccivio, Oltrona di San Mamette, Tradate (VA), Veniano"
Altre informazioni,Altre informazioni
Cod. postale,22070
Prefisso,031
Fuso orario,UTC+1
Codice ISTAT,013010
Cod. catastale,A333
Targa,CO
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 649 GG[3]"
Nome abitanti,appianesi
Patrono,santo Stefano
Giorno festivo,26 dicembre
Cartografia,Cartografia
Appiano Gentile,Appiano Gentile
Appiano Gentile – MappaLocalizzazione del comune di Appiano Gentile nella provincia di Como,Appiano Gentile – MappaLocalizzazione del comune di Appiano Gentile nella provincia di Como
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
