Bellagio comune,Bellagio comune.1
,
Bellagio – Veduta,Bellagio – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Como
Amministrazione,Amministrazione
Sindaco,Angelo Barindelli (lista civica Insieme per Bellagio e Civenna più belle) dal 7-6-2009 (4º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,45°59′15″N 9°15′43″E
Altitudine,229 m s.l.m.
Superficie,"29,06[1] km²"
Abitanti,3 514[2] (30-11-2025)
Densità,"120,92 ab./km²"
Frazioni,vedi elenco
Comuni confinanti,"Griante, Lezzeno, Magreglio, Oliveto Lario (LC), Sormano, Tremezzina, Varenna (LC), Veleso, Zelbio"
Altre informazioni,Altre informazioni
Cod. postale,22021; 22030 (Civenna)
Prefisso,031
Fuso orario,UTC+1
Codice ISTAT,013250
Cod. catastale,M335[N 1]
Targa,CO
Cl. sismica,zona 4 (sismicità molto bassa)[3]
Cl. climatica,"zona E, 2 259 GG[4]"
Nome abitanti,bellagini
Patrono,san Giacomo
Giorno festivo,25 luglio
Cartografia,Cartografia
Bellagio,Bellagio
Bellagio – MappaPosizione del comune di Bellagio nella provincia di Como,Bellagio – MappaPosizione del comune di Bellagio nella provincia di Como
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
