Campione d'Italia comune,Campione d'Italia comune.1
,
Campione d'Italia – VedutaVista di Campione d'Italia,Campione d'Italia – VedutaVista di Campione d'Italia
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Como
Amministrazione,Amministrazione
Sindaco,Roberto Canesi (Campione rinasce) dal 21-9-2020
Territorio,Territorio
Coordinate,45°58′15″N 8°58′15″E
Altitudine,273 m s.l.m.
Superficie,"0,9[1] km²"
Abitanti,1 849[2] (30-11-2025)
Densità,"2 054,44 ab./km²"
Frazioni,nessuna[3]
Comuni confinanti,"Arogno (CH-TI), Bissone (CH-TI), Lugano (CH-TI), Melide (CH-TI), Paradiso (CH-TI)"
Altre informazioni,Altre informazioni
Cod. postale,22061
Prefisso,"004191 (Canton Ticino, Svizzera)"
Fuso orario,UTC+1
Codice ISTAT,013040
Cod. catastale,B513
Targa,CO
Cl. sismica,zona 4 (sismicità molto bassa)[4]
Cl. climatica,"zona E, 2 457 GG[5]"
Nome abitanti,campionesi
Patrono,san Zenone
Giorno festivo,12 aprile
Cartografia,Cartografia
Campione d'Italia,Campione d'Italia
"Campione d'Italia – MappaPosizione del comune di Campione d'Italia, exclave territoriale, rispetto al resto della provincia di Como","Campione d'Italia – MappaPosizione del comune di Campione d'Italia, exclave territoriale, rispetto al resto della provincia di Como"
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
