Mariano Comense comune,Mariano Comense comune.1
,
Mariano Comense – Veduta,Mariano Comense – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Como
Amministrazione,Amministrazione
Sindaco,Giovanni Alberti (lista civica di centro-destra Mariano ideale) dal 26-5-2019 (2º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,45°42′N 9°11′E
Altitudine,252 m s.l.m.
Superficie,"13,8 km²"
Abitanti,25 522[1] (30-11-2025)
Densità,"1 849,42 ab./km²"
Frazioni,Perticato
Comuni confinanti,"Brenna, Cabiate, Cantù, Carugo, Figino Serenza, Giussano (MB), Lentate sul Seveso (MB), Novedrate, Seregno (MB)"
Altre informazioni,Altre informazioni
Cod. postale,22066
Prefisso,031
Fuso orario,UTC+1
Codice ISTAT,013143
Cod. catastale,E951
Targa,CO
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 427 GG[3]"
Nome abitanti,marianesi
Patrono,santo Stefano
Giorno festivo,3 agosto
Cartografia,Cartografia
Mariano Comense,Mariano Comense
Mariano Comense – MappaPosizione del comune di Mariano Comense nella provincia di Como,Mariano Comense – MappaPosizione del comune di Mariano Comense nella provincia di Como
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
