Camisano comune,Camisano comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Cremona
Amministrazione,Amministrazione
Sindaco,Francesco Donida (lista civica) dal 9-6-2024
Territorio,Territorio
Coordinate,45°27′N 9°45′E
Altitudine,92 m s.l.m.
Superficie,"10,95 km²"
Abitanti,1 253[1] (30-11-2025)
Densità,"114,43 ab./km²"
Comuni confinanti,"Barbata (BG), Casale Cremasco-Vidolasco, Casaletto di Sopra, Castel Gabbiano, Isso (BG), Ricengo"
Altre informazioni,Altre informazioni
Cod. postale,26010
Prefisso,0373
Fuso orario,UTC+1
Codice ISTAT,019010
Cod. catastale,B484
Targa,CR
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 251 GG[3]"
Nome abitanti,camisanesi
Patrono,san Giovanni Battista
Giorno festivo,prima domenica di settembre
Cartografia,Cartografia
Camisano,Camisano
Camisano – MappaPosizione del comune di Camisano nella provincia di Cremona,Camisano – MappaPosizione del comune di Camisano nella provincia di Cremona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
