Capralba comune,Capralba comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Cremona
Amministrazione,Amministrazione
Sindaco,Damiano Cattaneo (lista civica) dal 27-5-2019 (2º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,45°27′N 9°39′E
Altitudine,93 m s.l.m.
Superficie,"13,45 km²"
Abitanti,2 290[1] (30-11-2025)
Densità,"170,26 ab./km²"
Frazioni,"Farinate, Campisico di sopra, Campisico di sotto"
Comuni confinanti,"Campagnola Cremasca, Caravaggio (BG), Casaletto Vaprio, Misano di Gera d'Adda (BG), Pieranica, Quintano, Sergnano, Torlino Vimercati, Vailate"
Altre informazioni,Altre informazioni
Cod. postale,26010
Prefisso,0373
Fuso orario,UTC+1
Codice ISTAT,019015
Cod. catastale,B686
Targa,CR
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 251 GG[3]"
Patrono,sant'Andrea
Giorno festivo,30 novembre
Cartografia,Cartografia
Capralba,Capralba
Capralba – MappaPosizione del comune di Capralba nella provincia di Cremona,Capralba – MappaPosizione del comune di Capralba nella provincia di Cremona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
