Abbadia Lariana comune,Abbadia Lariana comune.1
,
Abbadia Lariana – Veduta,Abbadia Lariana – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Lecco
Amministrazione,Amministrazione
Sindaco,Roberto Sergio Azzoni (lista civica Progetto Abbadia) dal 27-5-2019
Territorio,Territorio
Coordinate,45°54′N 9°20′E
Altitudine,204 m s.l.m.
Superficie,"16,67 km²"
Abitanti,3 135[1] (30-11-2025)
Densità,"188,06 ab./km²"
Frazioni,"Borbino, Crebbio, Linzanico, Novegolo [2]"
Comuni confinanti,"Ballabio, Lecco, Mandello del Lario, Oliveto Lario, Valbrona (CO)"
Altre informazioni,Altre informazioni
Cod. postale,23821
Prefisso,0341
Fuso orario,UTC+1
Codice ISTAT,097001
Cod. catastale,A005
Targa,LC
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 359 GG[4]"
Nome abitanti,abbadiensi
Patrono,Santa Apollonia
Giorno festivo,9 febbraio
Cartografia,Cartografia
Abbadia Lariana,Abbadia Lariana
Abbadia Lariana – MappaPosizione del comune di Abbadia Lariana nella provincia di Lecco,Abbadia Lariana – MappaPosizione del comune di Abbadia Lariana nella provincia di Lecco
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
