Ello comune,Ello comune.1
,
Ello – Veduta,Ello – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Lecco
Amministrazione,Amministrazione
Sindaco,Elena Pirovano (lista civica) dal 12-6-2022
Territorio,Territorio
Coordinate,45°47′N 9°22′E
Altitudine,411 m s.l.m.
Superficie,"2,42 km²"
Abitanti,1 185[1] (30-11-2025)
Densità,"489,67 ab./km²"
Frazioni,"Arnerio, Baragiola, Boggia, Bosina, Fura, Malavoglia, Marconaga, Pressaco, Ronchetti, Vedizero, Zero[2]"
Comuni confinanti,"Colle Brianza, Dolzago, Galbiate, Oggiono"
Altre informazioni,Altre informazioni
Cod. postale,23848
Prefisso,0341
Fuso orario,UTC+1
Codice ISTAT,097033
Cod. catastale,D398
Targa,LC
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 653 GG[4]"
Nome abitanti,ellesi
Patrono,Sant'Antonio Abate
Giorno festivo,17 gennaio
Cartografia,Cartografia
Ello,Ello
Ello – MappaPosizione del comune di Ello nella provincia di Lecco,Ello – MappaPosizione del comune di Ello nella provincia di Lecco
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
